sentence,label
"the snow that husheth all,	0
186	then pausing, thus his prophecy renews:	0
187	to accomplish suicide.	-1
188	early or late? or shall that commonwealth	0
189	he plays a little, sings a song,	0
190	each by his fiery torture howl and rave,	-1
191	and twitter, and again are still.	0
192	my daily thoughts perpetual converse held	0
193	yon trunk had thrice a hundred rings,	0
194	is lovely round; a beautiful river there	1
195	take heed (dear heart) of this large privilege,	1
196	at once comes tumbling down the rocky wall;	-1
197	sat mournfully guarding their corpses there,	-1
198	low in supplication bending.	0
199	twas when you stole my maidenhead;	-1
200	sorry?  of course you are, though you compress,",negative
i would not live alway,negative
"the king ordains their entrance, and ascends",positive
very sleepy with the silence.,negative
which clanged along the mountain's marble brow--,negative
"it steam in winter like an ox's breath,",negative
"in prosperous days. like a dim, waning lamp",no impact
jarr'd his own golden region; and before,negative
when high i heap it with the weed,negative
the climax of those hopes and duties dear,positive
wait his returning strength.,negative
"strove to raise itself in blessing,",positive
nile shall pursue his changeless way:,negative
i must be home by noon-time with the cart.',negative
both the unseen and the seen;,negative
the poet comes the last!,negative
with many sighs;,negative
"where, all the long and lone daylight,",negative
full of the calm that cometh after sleep:,positive
"still sigurd rides with the brethren, as oft in the other days,",negative
was she not somewhat that he could not rule,negative
"gnossian his shafts, and lycian was his bow:",negative
"you didn't stop for fuss,--",negative
i'm here--so far--and starting on again.,negative
"a different man was brother timothy,",negative
see! neptune’s altars minister their brands:,negative
"to match your wit against the maker's will,",negative
"absently fingering and touching it,",negative
three hours the first november dawn,negative
ran ever clearer speech than that did run,positive
i say it's someone passing.,negative
"what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?",no impact
"i left the place with all my might, --",negative
"let dat cradle swing,",negative
he has no calling and he owns no trade.,negative
"as they were loosened by that hermit old,",negative
"then rose they up around him,",negative
but because she stept to her star right on through death,no impact
an' see a hundred hills like islan's,negative
and i am still the same;,negative
misnames as the dog rosey now.,negative
"and hoping chink, she talked of morts of luck:",negative
"the meadows mine, the mountains mine, --",negative
since ferdinand and you begun,negative
i'm always thinkin' long.,negative
"ho! philip, send, for charity, thy mexican pistoles,",negative
on to their shining goals:--,positive
glory might burst on us!,positive
"what's de use o' gittin' mopy,",negative
"yet by experience taught we know how good,",negative
as if she were a woman. we who have clipt,negative
"it would be different if more people came,",negative
"plucked from the death, wilt thou repay me thus?",no impact
"a spirit of unresting flame,",positive
"the present is enough, for common souls,",negative
"hear its low inward singing,",negative
"be sure to read it rightly. so, i mused",negative
and keep my senses straightened,negative
three trojans tug at ev’ry lab’ring oar;,negative
"mind us of like repose, since god hath set",negative
lift their blue woods in broken chain,negative
in nothing is wanting;,negative
"and kissed him with a sister's kiss,",negative
"thou of the god-lent crown,	0
272	like pageantry of mist on an autumnal stream.	0
273	and she said: what dost thou, brynhild? what matter dost thou seek?""",negative
or the bolder art essaying,negative
"thither, if but to prie, shall be perhaps",negative
o'er sweet profounds where only love can see.,positive
"he smell de bacon cookin', an' he hyeah de fiah hum;",negative
came in slow pomp;--the moving pomp might seem,negative
"with peace and soft rapture shall teach life to glow,",positive
but thy tranquil waters teach,positive
"smoothing the clustered hair, and parting it",negative
"in all that clang and hewing out of men,",negative
"her scutcheon shows white with a blazon of red,--",negative
"looks, and is dumb with awe;",no impact
"then oer the rushes flies again,",negative
"a thousand rubs had flattened down each little cherub's nose,",negative
"a fragrance from the cedars, thickly set",negative
of bright and dark obscurity;,no impact
"science and song, and all the arts that please;",positive
"you turn, o jeanne, on our mystery",negative
a graciousness in giving that doth make,positive
most beauteous isadore!,positive
whose instinct was to listen and obey.,negative
"already, land! thou hast declared:  'tis done.",positive
with war unhop’d the latians to surprise?,negative
"the eyes beside had wrung them dry,",negative
tis the chronicle of art.,negative
"that moved in the beginning o'er his face,",negative
and glance securely round.,negative
so that ye for them are made,negative
he who plays with old iagoo,negative
“why won’t the farm next to it do for you?”,negative
"on which an army once did feast,",negative
their country free and joyous--,positive
o sun-hint that hath overspread,negative
"like your nest,",negative
"leading downward to the river,",negative
a tyrian colony; the people made,negative
can storied urn or animated bust:,negative
"but she spake: ""bid hither gunnar, lest the sun sink o'er the bent,",negative
despised am i by those who call'd me friend,no impact
the days pass over me,negative
"knowing this, that never yet",negative
"no, i won't be seein' nobody in the mornin',",negative
the crack as of her splitting. did she take,negative
your paynim heroes faster ride,positive
"_you_ took to follerin' where the prophets beckoned,",negative
godminster? is it fancy's play?,negative
so that my stern resolve was almost gone.,negative
"meekly in the eternal footsteps trod,",negative
"all along down ""injin crik?""",negative
look down the shining peaks of all my days,positive
the wood giant,negative
"tinkle, tinkle, sweetly it sung to us,",positive
"then along the river strand,",negative
"these are the tales, or new or old,",negative
"for her this rhyme is penned, whose luminous eyes,",positive
like morning glory,positive
"the quavering thunder thereupon had ceas'd,",no impact
"to men below,",negative
they had not set there. who had set it there?,negative
"sometime, when all life's lessons have been learned,",negative
shine knightly star and plume of snow?,positive
"he said; and while he spoke, with flying speed",negative
sent by an hand unseen;,negative
till after-poets only knew,negative
to his aid the strong reverses,negative
"and leave the words unspoken i yet have will to speak.""",negative
"the tablet telling where he ""fell on sleep,""--",negative
"so there on an eve is sigurd in the ancient niblung hall,",negative
"good ringers, pull your best,"" quoth he.",positive
to gather weeds in the regardless stream.,negative
and the lure of what is called heaven is little or nothing to me.,no impact
me up like that.  'essence de la valliere'--,negative
"but when i read of the brotherhood of lovers, how it was with them;",negative
all these were round my steady paces.,negative
fearless but weary to thy arms i creep;,no impact
"with dews of tropic morning wet,",negative
"here those that in the rapid course delight,",positive
‘received that cheque.’ but you!... i send you funds,negative
and never be forgot in mighty rome,positive
attend your brother to the stygian flood.”,negative
less often man--the harder of the two.,negative
"shining and shouting each to each that place),",negative
and call that brilliant flower the painted cup.,positive
"a privilege, i think,",negative
"of sainthood in purple the pattern and pick,",negative
and bright in heaven's jewelled crown,positive
"halcyons of memory,",positive
hale as the morn and happy as her song.,positive
and catered for it as the cretan bees,negative
"and in the air, her new voice luting soft,",positive
with sincerest conviction their chairs to the shore;,positive
my prayer away i threw;,negative
"an old smoaked blanket arches oer his head,",negative
the sundown's golden trail?,positive
"far, far away, o ye",negative
"our saxon tongue has known,--",negative
"thus farr to try thee, adam, i was pleas'd,",positive
swifter far than youth's delight--,positive
"all autumn pil'd, though spring and autumn here",negative
"but heaven in thy creation did decree,",negative
"burns in thee, child?--what good can thee betide,",negative
"skins of otter, lynx, and ermine,",negative
"no, no, you have dismiss'd me; and i go",negative
"and full of wonder, full of hope as he.",positive
"before the saintly soul, whose human will",positive
and on her ample square from side to side,negative
"and hold the hours as joshua stayed the sun,--",negative
"he scarce had ended, when those two approachd",negative
"he whose lot hath been	0
408	our present, our past, our to be,	0
409	now rise and look upon me.  and she rose,",negative
came sages urging on his foamy steed:,negative
"and finde thee knowing not of beasts alone,",negative
"apple-blossoms pink, and low",negative
"pride of thy sex, miss harriet martineau!",positive
"we’ll say instead, the inconsequent creature, man,—",negative
with level wings swinging,negative
"lift not your hands in the banded war,",negative
"would my heart and life flow onward, deathward, through this dream of",no impact
"but de lawd is all aroun' you,",negative
to hold it fast.,negative
"tain't the words alone, but feelin's,",negative
"no angry bolt, but harmless flame.",no impact
the beauty and the joy of their renewed might.,positive
"oh, those days, so sweet, so happy,",positive
"they were wet, and glistened with raindrops, shed",negative
and circling wonders fill the vast profound.,positive
"the love that lived through all the stormy past,",no impact
"but it is not enough, ah! not enough",negative
the pyramids have risen.,negative
"play uppe, play uppe, o boston bells!	1
434	is plain, thou say'st: but wherefore god this way	0
435	to rise upon some other shore,	0
436	at dusk of eve,	0
437	and then, as is my wont, i told	0
438	with warning cough and threatening wheeze	-1
439	who had my mother's servant been,	0
440	daily struggling, though unloved and lonely,	-1
441	there's a certain slant of light,	0
442	honour to the old bow-string!	1
443	fall again.	0
444	love, on myriad lips fairer than yours, kisses you could not give! . . .	2
445	how heavy it seemed! as heavy as a stone;	-1
446	concerning him ye wot of, thus to think	0
447	thou too art victor, rochambeau!	1
448	when thou hadst overcome the sharpness of death, thou didst open the kingdom of heaven to all believers.	2
449	and wit, like ocean, rose and fell?--	2
450	how they had waited for him, to complete	0
451	heart as though with ashes blending;	-1
452	and give a meaning to their lives; and still	0
453	along the track. afore the noonday meal	0
454	but descend to the ocean again.	0
455	and yet its whole career	0
456	when waves forget to roll.	0
457	i see two boats with nets, lying off the shore of paumanok, quite still;	0
458	rais’d on the seas, the surges to control—	0
459	passing to lap thy waters, crushed the flower	-1
460	ay, knelt and worshipped on, as love in beauty's bower,	1
461	the tale is one of distant skies;	0
462	the herded wolves, bold only to pursue;	0
463	would we were bidden with the rest!	0
464	feel the pulses of the brave	1
465	sparked a ruby through its heart,	1
466	from the overhanging branches,	0
467	i see them mix'd with george's sons,	0
468	i watch you in your crystal sphere,	0
469	daih 's de ho'n a blowin'!	0
470	to teach in schools of little country towns	0
471	listening, with half-suspended breath,	0
472	beneath thy gracious feet!	1
473	his hand the captive's fetters broke,	-1
474	did this wood come floating thick	0
475	and confessors betwixt.	0
476	his boundless gulfs and built his shore, thy breath,	0
477	a hundred years, and fifty more, had spread their leaves and snows,	0
478	and yet perhaps you had been startled less	0
479	and say, ‘fie, pale-face! are you english girls	0
480	at length they turn to nothing else but down,	0
481	and, waking, find it vision,--none the less	0
482	here on the street as strangers do,	0
483	it is but three times thou hast set thine eyes	0
484	behind the heads of children) compliments,	0
485	pulled by mules dat run like rabbits, each one tryin' to git ahead.	0
486	unclasped the rusty belt beneath,	0
487	you heard the news from vincent carrington.	0
488	got the ill name of augurs, because they were bores, —)	-1
489	sire, son, and grandson; so the century glides;	0
490	but she guesses he is near,	0
491	and so,	0
492	and tender thoughts, and prayers, remains,	1
493	then thro’ his breast his fatal sword he sent,	-1
494	i mean estelle has always held the purse.""",negative
"though books on manners are not out of print,",negative
"so, then, without a word that might offend",negative
"seed-field of simpler manners, braver truth,",positive
"busy, with sacerdotal tailorings",negative
"upon whose boughs were wicker cages hung,",negative
she still must keep the locket to allay,negative
skirting the stream.,negative
"o lord, that didst smother mankind in thy flood,	-1
506	the silence, and the rain.	0
507	is this a time to be cloudy and sad,	-1
508	blood-dipped arrows, which savages make	-1
509	i think i'll just call up my wife and tell her	0
510	the moon and the stars were anxious	-1
511	they shaped our future; we but carve their names.	0
512	nor the president in his presidency, nor the rich in his great house.	2
513	in our embraces we again enfold her,	1
514	robe us once more in heaven-aspiring creeds	1
515	in the twilight of age all things seem strange and phantasmal,	-1
516	back to its mansion call the fleeting breath?	0
517	the very gods arising mid their carven images:	0
518	ah! still, methinks, i hear them calling;	0
519	a wild and stormy sea;	-1
520	sir, ye shall find him, if ye follow up",negative
tis the djinns' wild streaming swarm,negative
how many times we must have met,negative
then the smile from her bright eyes faded and a flush came over her cheek,no impact
lowly and soft she said it; but spake out louder now:,negative
"the sower scatters broad his seed,",negative
"and thus each tint or shade which falls,",negative
the dust of half a century lies,negative
above the myriad roofs and spires rise;,negative
and they whispered to each other:,negative
then he stripped the shirt of wampum,negative
"at least if so we can, and by the head",negative
to me that time did not appeire:,negative
"so neighbour'd to him, and yet so unseen",negative
the wondering rabbi sought the temple's gate.,negative
"are angel faces, silent and serene,",positive
ef zeke had be'n the bigges' man,negative
and when i bade the dream,negative
"and tip with feathers, orange and green,",negative
"or at the church, she ever bore herself",negative
"how nature to the soul is moored,",negative
"rubadub! rubadub! wake and take the road again,	0
544	i do not keer a jot;	0
545	swifter was the hunter's rowing,	1
546	let the scared dreamer wake to see	0
547	(like essence-peddlers) thet'll make folks long to be without 'em,	0
548	as if we guessed what hers have been,	0
549	which goaded him in his distress	-1
550	o so many, many, many	0
551	lord, remember me!",negative
"far from the woods where, when the sun has set,",negative
abloom by sacred streams,positive
"nathless, as hath been often tried,",negative
"i feel the road unroll,",negative
"and not be nearer therefore to the moon,",negative
"and country eyes, and quiet faces --",negative
"some come ridin' in top-buggies wid de w'eels all painted red,",negative
i can see how you might. but i don't know!,negative
"the orchestra had cheered till they were hoarse,",no impact
now the place where the accident occurred----,negative
"a poet in his youth, and the cuckoo-bird",negative
“i’m going to put you on the farm next to it.”,negative
"he!  patron!	0
571	three lives, three strides, three foot-prints in the sand;	0
572	till they have told their fill, could scarce express	0
573	the morning and the evening made his day.	0
574	stella, see that grasshopper",negative
"of blooming myrtle and faint lemon-flowers,",negative
"let us do our work as well,",negative
"we hear our mother call from deeps of time,",negative
of brynhilda's love and the wrath of gudrun.,no impact
who digs last year's potato hill?--,negative
"those hours the ancient timepiece told,--",negative
"would split, for size of me.",negative
in just the dress his century wore;,negative
"his song, though very sweet, was low and faint,",no impact
then to tell.,negative
my winter sports begin.,negative
"the play is done,--the curtain drops,",negative
"the cloud is gone that wove the sandstone,",negative
"i see little and large sea-dots, some inhabited, some uninhabited;",negative
time never did assuage;,negative
that saw the cross without the bear.,negative
the deer invites no longer,negative
like slippers after shoes.--,negative
and willing grow old,negative
"to paris, and you make no sign at all.",negative
"from the pulpit read the preacher, ""goodman garvin and his wife",negative
"even hearts estranged would turn once more to me,",no impact
"the china dustless, the keen knife-blades bright,",positive
"was in cremona's workshops made,",negative
an honest tongue may drop a harmless hint.,positive
"you shall not find the sons of atreus here,",negative
to intercept the sunshine and your face.,negative
playmates' glad symphony.,positive
"her lion-port, her awe-commanding face,",positive
my father’s sister started when she caught,negative
how you sprang! how you threw off the costumes of peace with indifferent hand;,no impact
"these fly to the heavens--their course never ends,",negative
not in the close successive rattle,negative
"a man in the wars delighting, blind-eyed through right and wrong:",no impact
#NAME?,positive
"i turned, and saw behind me surge",negative
to turnus only second in the grace,negative
"on winter afternoons,",negative
"their heads, distilling gore, his chariot grace.",no impact
"they say that 'time assuages,' --",negative
the story of a spavined steed;,negative
"swifter far than happy night,",positive
"around my will to link it with her own,",negative
"in the worst of his poems are mines of rich matter,",no impact
"upon sea-beaten cape,",negative
"by a great master of the past,",positive
"counts his nectars -- enters,",negative
all over the vale below.,negative
while with thy childlike faith we lean,negative
and to the tender heart and brave,positive
"a wagon, overarched with evergreen,",negative
"upon her sister dear,",negative
"before god, sir, i vow, when you are gone,	0
632	“acca, ’tis past! he swims before my sight,	0
633	east, west, north, south, are his domain.	0
634	with the earls of the goths about her: so queenly did she seem,	1
635	with spring’s delicious trouble in the ground	2
636	they are fastened well, nom d'un chien!	0
637	the fraud of priests, the wrong of law,	-1
638	a quick consumption, that no art could cure!",negative
around thy place of slumber glowing!,positive
"love works at the centre,",negative
of nature's gold and mints it.,negative
"shall dwindle, shall blend,",negative
"a story of the days of old,",negative
"he bent and kissed her head, warm, shining, soft,",positive
"and she passed out between the blessed things,",no impact
"how to observe is what thy pages show,",negative
"dey kin talk from hyeah to yandah,",negative
"by his sacrifice, foreknown",negative
"first, he mused what the animal substance or herb is",negative
three banks in three degrees the sailors bore;,negative
"and that unrest which men miscall delight,",no impact
and friendship's tenderest sympathy,positive
her eye proclaims her of the briton line:,negative
"in a dell mid lawny hills,",negative
"that thou should'st smile again?""--the evening came,",negative
"eliab this occasion seized,",negative
"and changing like a poet's rhymes,",negative
my breast was calm as summer's sea,positive
"when your rights was our wrongs, john,",no impact
godminster chimes,negative
nothin' to du but watch my shadder's trace,negative
mere raft of stone;,negative
"a spirit, neither here nor there,",negative
"and then, to go to sleep;",negative
"with passionate longing burning,",positive
were i once more the lover,negative
"even while we gaze, though it awhile avail",negative
"well, i guess i looked at that hand",negative
"a man may see the moon so, in a pond,",negative
"ah, soul of mine! so brave and wise",positive
"the oriole in the elm; the noisy jay,",negative
"once upon a time, i lay",negative
still is my heart and vacant is my breath--,negative
with sharp turns weaving,negative
"flew to and fro,",negative
here on the cliff beneath the oleanders,negative
his pass to the majestical far shore.,positive
"and virtue's bright image, enstamped on the mind,",positive
"then he said ""amarant""; and the damsel drew",negative
...    and call to him.,negative
how seen? how known? as through your glass,negative
"(so thick they crowd), 'tis hardly seen.",negative
"we were content to show,",negative
"young childhood, with a moisten'd eye,",negative
"on their tracks his eyes were fastened,",negative
"darling, the merciful father",positive
bird that from the nadir's floor,negative
to touch such goodness with a grimy palm.,no impact
"the willows, and the hazel copses green,",negative
the likeness of the wood's remembered leaves.,negative
"his days in peace; but his straight lips were bent,",no impact
for vessels moulded by a mortal hand?,negative
"what i have heard,",negative
but laon? on high freedom's desert land,negative
"the soul with sweetness, and like an adept",positive
"on that shaded day,",negative
the lady eunice such a life she flew,negative
i would not live alway--live alway below!,negative
for suddenly the sweet bells overcame,positive
yon creamy lily for their pavilion,negative
"appeared to me,--may i again behold it!",negative
make a fragrance of her fame.,positive
"betrayed how mightily its heart was stirred,",no impact
"overleaning, with flickering meaning and sign,",negative
"thy outward thus with outward praise is crowned,",positive
no man could compete with kwasind.,negative
that by nor sound nor word,negative
when our mother nature laughs around;,positive
"from kindling spark struck out from dead king's brow,",no impact
"precisely, at all events, what he ought not,",negative
rang the beautiful wild chimes,positive
"first feels the gathering head of steam,",negative
and to thy brief captivity was brought,negative
and listening to thy home's familiar chime,negative
"sometimes towards heav'n and the full-blazing sun,",positive
"all right,' says t'other, 'only step round smart;",negative
"grander, nobler, than that pilot",positive
"dearest, why should i mourn, whimper, and whine, i that have yet to live?",no impact
"in every health we drink, my boys,",negative
"where holds the soul communion with its god,",negative
so runs the perfect cycle of the year.,positive
"the limpid ocean mirrors all the stars,",positive
ashes and jet all hues outshine.,positive
many changes have been run,negative
as childhood's sweet delight.,positive
bred onely and completed to the taste,negative
what flecks the outer gray beyond,negative
"does he mean himself, i wonder?	0
752	lull’d in her lap, amidst a train of loves,	1
753	come up like ocean murmurs. but the scene	0
754	and in a pleasing slumber seals his eyes:	1
755	sweet poesy from heaven	1
756	o, i can ne'er forget	0
757	the leprous corpse, touched by this spirit tender,	2
758	ambrosial odours and ambrosial flowers,	0
759	his sweeter voice a just accordance kept.	1
760	false-faces hung on strings,	-1
761	that in their lives such deadly fray they ne'er had seen before.	-1
762	her not-nice load.	-1
763	unhitched the breeching from a shaft,	0
764	tis that one told us it was life. 'for not	0
765	who fishes in the frog-pond still?	0
766	as the gods would i see,"" said sigurd, ""though death light up the land.""",no impact
"which leans over to the lane,",negative
"you hardly know when you are coming back,",negative
"but the great spirit plants it in our hearts,",negative
"nor is he, as some sages swear,",negative
"of his faint steed; the latter, as he stretch’d",negative
"i strive, i pray.",positive
who god possesseth,negative
"these often bathed she in her fluxive eyes,",negative
"that you or yours, having an appetite,",negative
"the loveliest king of the king-folk, the man of sweetest speech,",positive
who felt your own thought worthy of record,positive
"and then, if it should be",negative
"ez though i wanted to enlist 'em,",negative
"behind the sea-wall's rugged length,",negative
how they will tell the shipwreck,negative
tis gone past recalling!,negative
one lucent foot's delaying tip,negative
at his approaching footsteps.  winter came,negative
henceforth to labor's chivalry,negative
i'll be ther in a minit.,negative
our lives and safeties all;,negative
that little barley-cake you keep from him,negative
our wavering apparitions pass,negative
"and ye who attend her imperial car,",negative
"on the clear mirror of a loving heart,",positive
for that’s his specialty. what creature else,negative
her thoughts are like the lotus,negative
"thou wovest dreams of joy and fear,",no impact
"that, following this slight trace,",negative
but now for me than you—the other way.,negative
who wrote this modest version i suppose,negative
--the drones of the community; they feed,negative
the echoing sounds grow fainter and then cease;,negative
"and, between the river flowing and the fair green trees a-growing,",positive
"you'll not want business, for we need a lot",negative
"still, upon a flower,",negative
"god prosper long our noble king,",positive
"leave the garden walls, where blow",negative
it's a pretty early start.,negative
"he takes you from your easy-chair,",negative
accept the gift which i have wrought,negative
long-drawn bill of wine and beer,negative
"a crow dot sat a-squawkin', ""i's a mockin'-bird.""",negative
"a day's experunce 'd prove to ye, ez easy 'z pull a trigger.",negative
"euryalus stood list’ning while he spoke,",negative
"moonstruck with love, and this still thames had heard",positive
"yea, all the world it might be, and all sounds of the earth were stilled",negative
as hebe's foot bore nectar round,negative
"till, fur 'z i know, there aint an inch thet i could lay my han' on,",negative
she listening sate.,negative
"from alton bay to sandwich dome,",negative
even now eclipses the descending moon!--,negative
"some thought of me, a last fond prayer",positive
ode read at the one hundredth anniversary of the fight at concord bridge,negative
and my white cottage--plain.,negative
"onaway! my heart sings to thee,	1
831	begins, but endeth nevermore;	0
832	that throng our pilgrimage. its sympathy,	0
833	valentines, paper and tinsel,	0
834	when lips and heart refuse to part again	0
835	waiting the flutter of his homemade fly;	0
836	whereto we claim sole title by our toil,	0
837	our hope, our remembrance, our trust,	1
838	that _she_ should walk beside him on the rocks	0
839	far out, in peace, the white man's sail	0
840	of the bivouac fire apart,	0
841	such civil war is in my love and hate,	2
842	none will forget it till shall fall the deadly dart!	-1
843	that antwerp monks may sing a mass for thy poor spearmen's souls.	0
844	sir, i have dreamed of you. i pray you, sir,",negative
the message is not like what i have learned,negative
the beacon-light that forth they held,negative
"as george commands, let him be wrong or right,",negative
"luck obeys the downright striker; from the hollow core,",negative
"radiant as moses from the mount, he stood",positive
"where your hair from your forehead swerves,",negative
"yet both in different colours hide their art,",negative
"his regal seat, surrounded by his friends.",positive
"thinks i, the down lies dreaming",negative
"and what then doth he gather? if we know,",negative
"through the salt sea foam,",negative
does beauty slight you from her gay abodes?,no impact
yet was this period my time of joy:,positive
"from the fair brow; she, rising, only said,",negative
his silent sandals swept the mossy green;,negative
"nightly down the river going,",negative
their first-born brother as a god.,positive
"but half the secret told,",negative
and like the others does not slip,negative
bedaubed with iridescent dirt.,negative
"so thick, she cannot see her lover hiding,",negative
and so i should be loved and mourned to-night.,no impact
"and _channing_, with his bland, superior look,",no impact
the head that lay against your knees,negative
"is shorter than a snake's delay,",negative
"sooner, augustine, sooner far, shall i",negative
in every health we drink.,negative
the end of the play.,negative
"how your soft opera-music changed, and the drum and fife were heard in their stead;",no impact
"to sunset they would sip of the tea, drink of the beer, and eat of the",negative
to his ears there came a murmur of far seas beneath the wind,negative
"the one good man in the world who knows me, --",positive
"an', fust you knowed on, back come charles the second;",negative
